trousers	traʊzəz
fanatic	fənatɪk
dictionary	dɪkʃənri
room	ru:m
gentleman	ʤɛntlmən
box	bɒks
stream	stri:m
plinth	plɪnθ
enigma	ənɪgmə
variable	vɛ:riəbl
christmas	krɪsməs
register	rɛʤɪstə
wide	waɪd
student	stju:dənt
pencil	pɛnsəl
expect	ɪkspɛkt
pea	pi:
book	bʊk
coffee	kɒfi
verb	vɜb
